FLIGHT_ID,FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
200072,200072,2,27,5,3.0,25.0,3904,0,2015
200073,200073,2,17,2,25.0,17.0,334,1,2015
200074,200074,2,8,7,-4.0,10.0,1491,0,2015
200075,200075,2,2,1,60.0,10.0,455,1,2015
200076,200076,2,20,5,2.0,12.0,641,0,2015
200077,200077,2,23,1,1.0,18.0,545,0,2015
200078,200078,2,18,3,22.0,9.0,1400,0,2015
200079,200079,2,3,2,-3.0,11.0,224,0,2015
200080,200080,2,9,1,-8.0,27.0,328,1,2015
200081,200081,2,20,5,-6.0,34.0,644,0,2015
200082,200082,2,3,2,8.0,14.0,405,0,2015
200083,200083,2,24,2,-5.0,14.0,590,0,2015
200084,200084,2,24,2,6.0,22.0,809,0,2015
200085,200085,2,8,7,-8.0,31.0,222,0,2015
200086,200086,2,3,2,-2.0,8.0,983,0,2015
200087,200087,2,6,5,-8.0,32.0,419,0,2015
200088,200088,2,18,3,-6.0,15.0,718,0,2015
200089,200089,2,21,6,11.0,34.0,611,1,2015
200090,200090,2,18,3,-3.0,35.0,184,0,2015
200091,200091,2,26,4,-5.0,16.0,442,0,2015
200092,200092,2,23,1,-4.0,25.0,936,1,2015
200093,200093,2,25,3,36.0,11.0,591,1,2015
200094,200094,2,12,4,-1.0,10.0,226,0,2015
200095,200095,2,24,2,-1.0,12.0,1313,0,2015
200096,200096,2,9,1,4.0,14.0,522,0,2015
200097,200097,2,7,6,13.0,6.0,236,0,2015
200098,200098,2,12,4,-3.0,21.0,214,0,2015
200099,200099,2,16,1,-3.0,16.0,544,0,2015
200100,200100,2,17,2,-6.0,12.0,1005,0,2015
200101,200101,2,17,2,-13.0,11.0,1533,0,2015
200102,200102,2,11,3,20.0,13.0,1205,0,2015
200103,200103,2,15,7,37.0,21.0,977,1,2015
200104,200104,2,18,3,93.0,14.0,466,1,2015
200105,200105,2,24,2,-3.0,21.0,407,0,2015
200106,200106,2,24,2,99.0,33.0,762,1,2015
200107,200107,2,11,3,1.0,39.0,502,0,2015
200108,200108,2,24,2,-3.0,11.0,1709,0,2015
200109,200109,2,23,1,-5.0,19.0,200,0,2015
200110,200110,2,24,2,7.0,50.0,460,1,2015
200111,200111,2,4,3,-3.0,11.0,589,0,2015
200112,200112,2,7,6,-2.0,6.0,277,0,2015
200113,200113,2,19,4,177.0,20.0,1075,1,2015
200114,200114,2,21,6,-1.0,14.0,774,0,2015
200115,200115,2,10,2,-5.0,15.0,951,0,2015
200116,200116,2,2,1,40.0,88.0,1025,1,2015
200117,200117,2,25,3,-5.0,28.0,1068,1,2015
200118,200118,2,3,2,0.0,18.0,351,0,2015
200119,200119,2,18,3,-5.0,22.0,861,0,2015
200120,200120,2,11,3,-6.0,14.0,139,0,2015
200121,200121,2,9,1,148.0,8.0,226,1,2015
200122,200122,2,15,7,-4.0,16.0,1046,0,2015
200123,200123,2,7,6,-3.0,17.0,316,0,2015
200124,200124,2,23,1,1.0,32.0,533,0,2015
200125,200125,2,25,3,-3.0,19.0,945,0,2015
200126,200126,2,28,6,-5.0,12.0,1175,0,2015
200127,200127,2,17,2,33.0,62.0,409,1,2015
200128,200128,2,7,6,-6.0,14.0,212,0,2015
200129,200129,2,7,6,-5.0,10.0,1476,0,2015
200130,200130,2,16,1,6.0,31.0,646,0,2015
200131,200131,2,12,4,-4.0,10.0,237,0,2015
200132,200132,2,24,2,20.0,18.0,590,1,2015
200133,200133,2,7,6,-10.0,7.0,102,0,2015
200134,200134,2,21,6,10.0,11.0,1121,0,2015
200135,200135,2,2,1,49.0,12.0,1050,1,2015
200136,200136,2,8,7,-5.0,20.0,358,0,2015
200137,200137,2,18,3,1.0,10.0,802,0,2015
200138,200138,2,21,6,109.0,17.0,1005,1,2015
200139,200139,2,25,3,-1.0,9.0,859,0,2015
200140,200140,2,28,6,22.0,21.0,416,1,2015
200141,200141,2,22,7,-5.0,13.0,1660,0,2015
200142,200142,2,25,3,-8.0,11.0,862,0,2015
200143,200143,2,5,4,45.0,10.0,301,1,2015
200144,200144,2,28,6,-2.0,31.0,502,0,2015
200145,200145,2,26,4,16.0,13.0,1096,0,2015
200146,200146,2,23,1,-2.0,45.0,649,0,2015
200147,200147,2,16,1,139.0,40.0,1693,1,2015
200148,200148,2,27,5,-7.0,14.0,337,0,2015
200149,200149,2,3,2,-6.0,13.0,594,0,2015
200150,200150,2,6,5,-2.0,12.0,957,0,2015
200151,200151,2,18,3,37.0,16.0,1726,0,2015
200152,200152,2,1,7,-2.0,24.0,160,0,2015
200153,200153,2,3,2,-2.0,5.0,399,0,2015
200154,200154,2,9,1,35.0,11.0,980,1,2015
200155,200155,2,13,5,38.0,7.0,1166,1,2015
200156,200156,2,19,4,5.0,32.0,861,0,2015
200157,200157,2,22,7,41.0,15.0,1034,1,2015
200158,200158,2,15,7,-3.0,9.0,1995,0,2015
200159,200159,2,24,2,10.0,13.0,319,1,2015
200160,200160,2,1,7,-2.0,10.0,2133,0,2015
200161,200161,2,13,5,10.0,22.0,106,1,2015
200162,200162,2,27,5,-6.0,13.0,763,0,2015
200163,200163,2,9,1,-7.0,17.0,1744,0,2015
200164,200164,2,20,5,-2.0,13.0,1205,0,2015
200165,200165,2,19,4,-9.0,15.0,956,0,2015
200166,200166,2,6,5,19.0,18.0,2434,0,2015
200167,200167,2,21,6,-8.0,12.0,821,0,2015
200168,200168,2,6,5,-6.0,9.0,283,0,2015
200169,200169,2,15,7,15.0,9.0,237,1,2015
200170,200170,2,17,2,-1.0,11.0,302,0,2015
200171,200171,2,4,3,15.0,16.0,411,1,2015
200172,200172,2,26,4,47.0,23.0,829,1,2015
200173,200173,2,3,2,63.0,18.0,1044,1,2015
200174,200174,2,22,7,49.0,15.0,2300,1,2015
200175,200175,2,11,3,19.0,65.0,502,1,2015
200176,200176,2,17,2,7.0,11.0,587,0,2015
200177,200177,2,18,3,-3.0,20.0,201,0,2015
200178,200178,2,2,1,-7.0,36.0,990,0,2015
200179,200179,2,25,3,-1.0,16.0,2475,0,2015
200180,200180,2,23,1,-2.0,9.0,2979,0,2015
200181,200181,2,9,1,-9.0,9.0,364,0,2015
200182,200182,2,7,6,-6.0,17.0,1514,0,2015
200183,200183,2,26,4,8.0,10.0,200,0,2015
200184,200184,2,4,3,-7.0,11.0,2075,0,2015
200185,200185,2,18,3,19.0,31.0,912,1,2015
200186,200186,2,4,3,13.0,19.0,337,1,2015
200187,200187,2,17,2,0.0,17.0,1400,0,2015
200188,200188,2,25,3,-5.0,9.0,655,0,2015
200189,200189,2,27,5,-6.0,11.0,899,0,2015
200190,200190,2,5,4,-4.0,12.0,453,0,2015
200191,200191,2,20,5,-6.0,14.0,474,0,2015
200192,200192,2,11,3,-8.0,19.0,954,0,2015
200193,200193,2,22,7,-5.0,10.0,116,0,2015
200194,200194,2,27,5,27.0,15.0,817,1,2015
200195,200195,2,27,5,-3.0,12.0,985,0,2015
200196,200196,2,16,1,-6.0,19.0,2586,0,2015
200197,200197,2,20,5,-4.0,9.0,86,0,2015
200198,200198,2,25,3,-4.0,13.0,1979,0,2015
200199,200199,2,6,5,-5.0,14.0,1005,0,2015
200200,200200,2,12,4,0.0,19.0,1979,0,2015
200201,200201,2,27,5,7.0,20.0,216,1,2015
200202,200202,2,13,5,-5.0,15.0,383,0,2015
200203,200203,2,4,3,5.0,17.0,787,0,2015
200204,200204,2,1,7,0.0,41.0,1084,0,2015
200205,200205,2,16,1,0.0,9.0,859,0,2015
200206,200206,2,5,4,-8.0,35.0,528,0,2015
200207,200207,2,7,6,-2.0,14.0,372,0,2015
200208,200208,2,12,4,-2.0,11.0,1709,0,2015
200209,200209,2,10,2,-2.0,37.0,762,0,2015
200210,200210,2,16,1,-3.0,11.0,251,0,2015
200211,200211,2,10,2,-1.0,19.0,209,0,2015
200212,200212,2,10,2,-4.0,10.0,628,0,2015
200213,200213,2,2,1,0.0,19.0,528,0,2015
200214,200214,2,15,7,18.0,14.0,638,1,2015
200215,200215,2,8,7,11.0,10.0,1166,0,2015
200216,200216,2,20,5,0.0,17.0,813,0,2015
200217,200217,2,1,7,-3.0,19.0,837,0,2015
200218,200218,2,4,3,-2.0,9.0,347,0,2015
200219,200219,2,14,6,-3.0,22.0,933,0,2015
200220,200220,2,28,6,0.0,10.0,226,0,2015
200221,200221,2,21,6,30.0,7.0,455,1,2015
200222,200222,2,4,3,-12.0,11.0,590,0,2015
200223,200223,2,11,3,124.0,20.0,425,1,2015
200224,200224,2,13,5,-3.0,15.0,148,0,2015
200225,200225,2,24,2,28.0,9.0,239,1,2015
200226,200226,2,7,6,-6.0,15.0,550,0,2015
200227,200227,2,2,1,-4.0,16.0,761,0,2015
200228,200228,2,12,4,-3.0,14.0,147,0,2015
200229,200229,2,8,7,-3.0,17.0,1068,0,2015
200230,200230,2,14,6,-3.0,27.0,1814,1,2015
200231,200231,2,28,6,114.0,7.0,861,1,2015
200232,200232,2,26,4,-1.0,12.0,2402,0,2015
200233,200233,2,28,6,-3.0,15.0,255,0,2015
200234,200234,2,12,4,-2.0,11.0,667,0,2015
200235,200235,2,6,5,27.0,12.0,543,1,2015
200236,200236,2,17,2,0.0,8.0,163,0,2015
200237,200237,2,17,2,0.0,15.0,395,0,2015
200238,200238,2,8,7,30.0,8.0,462,1,2015
200239,200239,2,26,4,-5.0,14.0,262,0,2015
200240,200240,2,19,4,42.0,10.0,409,1,2015
200241,200241,2,13,5,-6.0,16.0,368,0,2015
200242,200242,2,13,5,-4.0,23.0,209,0,2015
200243,200243,2,28,6,-3.0,9.0,735,0,2015
200244,200244,2,6,5,1.0,17.0,331,0,2015
200245,200245,2,23,1,-4.0,14.0,419,0,2015
200246,200246,2,7,6,-8.0,12.0,397,0,2015
200247,200247,2,16,1,28.0,14.0,908,1,2015
200248,200248,2,17,2,-6.0,73.0,1389,1,2015
200249,200249,2,14,6,-2.0,11.0,541,0,2015
200250,200250,2,19,4,-2.0,16.0,1056,0,2015
200251,200251,2,14,6,12.0,15.0,528,0,2015
200252,200252,2,6,5,294.0,22.0,1476,1,2015
200253,200253,2,1,7,-3.0,14.0,2475,0,2015
200254,200254,2,22,7,-1.0,13.0,922,0,2015
200255,200255,2,3,2,12.0,10.0,602,0,2015
200256,200256,2,14,6,19.0,9.0,1788,0,2015
200257,200257,2,19,4,75.0,10.0,1105,1,2015
200258,200258,2,27,5,-4.0,24.0,919,0,2015
200259,200259,2,27,5,-7.0,13.0,1182,0,2015
200260,200260,2,2,1,-3.0,15.0,2475,0,2015
200261,200261,2,14,6,24.0,7.0,990,0,2015
200262,200262,2,16,1,15.0,10.0,1747,0,2015
200263,200263,2,20,5,0.0,13.0,240,0,2015
200264,200264,2,3,2,1.0,14.0,1448,0,2015
200265,200265,2,19,4,7.0,36.0,867,0,2015
200266,200266,2,1,7,4.0,14.0,1947,0,2015
200267,200267,2,3,2,-1.0,9.0,892,0,2015
200268,200268,2,26,4,-3.0,10.0,407,0,2015
200269,200269,2,17,2,184.0,82.0,280,1,2015
200270,200270,2,18,3,22.0,29.0,899,1,2015
200271,200271,2,26,4,-3.0,15.0,1671,0,2015
200272,200272,2,8,7,-3.0,17.0,1844,0,2015
200273,200273,2,23,1,1.0,11.0,1009,0,2015
200274,200274,2,23,1,4.0,9.0,1044,1,2015
200275,200275,2,26,4,33.0,13.0,1407,1,2015
200276,200276,2,18,3,-3.0,13.0,515,0,2015
200277,200277,2,26,4,0.0,13.0,1892,0,2015
200278,200278,2,14,6,-3.0,9.0,1041,0,2015
200279,200279,2,20,5,-3.0,28.0,151,0,2015
200280,200280,2,22,7,-11.0,13.0,287,0,2015
200281,200281,2,3,2,-4.0,12.0,862,0,2015
200282,200282,2,18,3,-2.0,8.0,446,0,2015
200283,200283,2,8,7,0.0,25.0,1623,0,2015
200284,200284,2,20,5,-2.0,14.0,1121,0,2015
200285,200285,2,25,3,-1.0,42.0,888,1,2015
200286,200286,2,27,5,0.0,14.0,1005,0,2015
200287,200287,2,12,4,-4.0,13.0,606,0,2015
200288,200288,2,1,7,5.0,11.0,1400,0,2015
200289,200289,2,23,1,-1.0,15.0,760,0,2015
200290,200290,2,27,5,-8.0,22.0,814,0,2015
200291,200291,2,27,5,-3.0,19.0,861,0,2015
200292,200292,2,3,2,27.0,13.0,1076,1,2015
200293,200293,2,6,5,-6.0,8.0,197,0,2015
200294,200294,2,18,3,6.0,12.0,895,0,2015
200295,200295,2,24,2,-1.0,16.0,1773,0,2015
200296,200296,2,14,6,-1.0,26.0,108,0,2015
200297,200297,2,4,3,-5.0,9.0,1184,0,2015
200298,200298,2,24,2,6.0,16.0,315,0,2015
200299,200299,2,27,5,-5.0,10.0,308,0,2015
200300,200300,2,28,6,-5.0,10.0,2342,0,2015
200301,200301,2,3,2,-2.0,11.0,293,0,2015
200302,200302,2,10,2,-1.0,14.0,601,0,2015
200303,200303,2,9,1,-2.0,16.0,460,0,2015
200304,200304,2,16,1,0.0,11.0,979,0,2015
200305,200305,2,12,4,-3.0,24.0,645,1,2015
200306,200306,2,3,2,40.0,98.0,762,1,2015
200307,200307,2,6,5,-5.0,14.0,2704,0,2015
200308,200308,2,6,5,-3.0,10.0,1032,0,2015
200309,200309,2,4,3,47.0,16.0,250,1,2015
200310,200310,2,16,1,-1.0,6.0,362,0,2015
200311,200311,2,18,3,13.0,13.0,1587,0,2015
200312,200312,2,27,5,15.0,12.0,1005,0,2015
200313,200313,2,19,4,-1.0,13.0,1535,0,2015
200314,200314,2,14,6,9.0,12.0,224,0,2015
200315,200315,2,28,6,-7.0,16.0,1074,0,2015
200316,200316,2,27,5,-7.0,14.0,2556,0,2015
200317,200317,2,18,3,-3.0,10.0,337,0,2015
200318,200318,2,15,7,-7.0,14.0,134,0,2015
200319,200319,2,13,5,-1.0,23.0,857,0,2015
200320,200320,2,3,2,48.0,14.0,850,1,2015
200321,200321,2,27,5,-6.0,28.0,184,0,2015
200322,200322,2,28,6,-9.0,18.0,236,0,2015
200323,200323,2,27,5,26.0,9.0,677,1,2015
200324,200324,2,14,6,35.0,18.0,404,1,2015
200325,200325,2,15,7,-3.0,18.0,391,0,2015
200326,200326,2,13,5,9.0,9.0,883,0,2015
200327,200327,2,13,5,16.0,12.0,926,0,2015
200328,200328,2,27,5,13.0,17.0,679,0,2015
200329,200329,2,25,3,21.0,49.0,588,1,2015
200330,200330,2,26,4,-9.0,40.0,601,0,2015
200331,200331,2,21,6,42.0,13.0,912,1,2015
200332,200332,2,2,1,13.0,33.0,554,1,2015
200333,200333,2,18,3,-5.0,17.0,1587,0,2015
200334,200334,2,13,5,-4.0,18.0,705,0,2015
200335,200335,2,19,4,4.0,14.0,980,0,2015
200336,200336,2,14,6,-10.0,19.0,2615,0,2015
200337,200337,2,5,4,366.0,10.0,1501,1,2015
200338,200338,2,5,4,5.0,17.0,1166,0,2015
200339,200339,2,8,7,-7.0,12.0,1157,0,2015
200340,200340,2,9,1,-5.0,11.0,647,0,2015
200341,200341,2,5,4,-5.0,8.0,342,0,2015
200342,200342,2,15,7,-4.0,11.0,307,0,2015
200343,200343,2,15,7,-1.0,11.0,581,0,2015
200344,200344,2,11,3,-4.0,16.0,1727,0,2015
200345,200345,2,27,5,-3.0,33.0,2586,0,2015
200346,200346,2,22,7,-2.0,8.0,1079,0,2015
200347,200347,2,20,5,7.0,14.0,373,0,2015
200348,200348,2,15,7,16.0,10.0,483,0,2015
200349,200349,2,24,2,27.0,13.0,694,1,2015
200350,200350,2,16,1,-4.0,16.0,599,0,2015
200351,200351,2,18,3,-2.0,12.0,2504,0,2015
200352,200352,2,19,4,6.0,15.0,472,0,2015
200353,200353,2,16,1,55.0,12.0,925,1,2015
200354,200354,2,20,5,-1.0,14.0,2106,1,2015
200355,200355,2,7,6,-1.0,25.0,1005,0,2015
200356,200356,2,1,7,-4.0,9.0,238,0,2015
200357,200357,2,26,4,2.0,9.0,164,0,2015
200358,200358,2,22,7,211.0,26.0,541,1,2015
200359,200359,2,15,7,26.0,24.0,1605,1,2015
200360,200360,2,6,5,0.0,16.0,1258,0,2015
200361,200361,2,2,1,390.0,145.0,1183,1,2015
200362,200362,2,18,3,-3.0,10.0,1709,0,2015
200363,200363,2,9,1,46.0,27.0,749,1,2015
200364,200364,2,25,3,-3.0,17.0,779,0,2015
200365,200365,2,18,3,-10.0,30.0,563,0,2015
200366,200366,2,20,5,-5.0,15.0,2475,0,2015
200367,200367,2,20,5,108.0,30.0,2704,1,2015
200368,200368,2,7,6,-11.0,14.0,534,0,2015
200369,200369,2,15,7,-7.0,29.0,455,0,2015
200370,200370,2,8,7,-2.0,20.0,978,1,2015
200371,200371,2,22,7,-6.0,8.0,1912,0,2015
200372,200372,2,24,2,-3.0,9.0,1589,0,2015
200373,200373,2,15,7,9.0,8.0,338,0,2015
200374,200374,2,9,1,-9.0,10.0,601,0,2015
200375,200375,2,27,5,14.0,11.0,515,0,2015
200376,200376,2,16,1,2.0,21.0,733,0,2015
200377,200377,2,28,6,23.0,8.0,550,0,2015
200378,200378,2,9,1,5.0,11.0,1919,0,2015
200379,200379,2,9,1,-4.0,20.0,299,0,2015
200380,200380,2,13,5,31.0,25.0,2486,1,2015
200381,200381,2,20,5,-10.0,10.0,67,0,2015
200382,200382,2,11,3,-5.0,36.0,1303,0,2015
200383,200383,2,28,6,135.0,64.0,285,1,2015
200384,200384,2,27,5,26.0,29.0,849,1,2015
200385,200385,2,23,1,44.0,10.0,2465,1,2015
200386,200386,2,28,6,0.0,8.0,462,0,2015
200387,200387,2,2,1,-1.0,13.0,227,0,2015
200388,200388,2,24,2,-2.0,9.0,1073,0,2015
200389,200389,2,2,1,41.0,10.0,277,1,2015
200390,200390,2,16,1,25.0,48.0,1298,1,2015
200391,200391,2,2,1,-7.0,17.0,546,0,2015
200392,200392,2,26,4,-3.0,30.0,738,1,2015
200393,200393,2,14,6,-4.0,15.0,1055,0,2015
200394,200394,2,2,1,-3.0,12.0,596,0,2015
200395,200395,2,2,1,23.0,11.0,1061,1,2015
200396,200396,2,22,7,-4.0,25.0,2457,0,2015
200397,200397,2,25,3,-10.0,25.0,502,0,2015
200398,200398,2,2,1,-2.0,10.0,515,0,2015
200399,200399,2,10,2,-2.0,10.0,406,0,2015
200400,200400,2,17,2,-1.0,8.0,152,0,2015
200401,200401,2,19,4,1.0,28.0,1008,0,2015
200402,200402,2,13,5,-6.0,14.0,954,1,2015
200403,200403,2,23,1,73.0,22.0,173,1,2015
200404,200404,2,3,2,6.0,8.0,1609,0,2015
200405,200405,2,27,5,3.0,21.0,645,0,2015
200406,200406,2,11,3,-6.0,15.0,1797,0,2015
200407,200407,2,16,1,14.0,12.0,370,1,2015
200408,200408,2,9,1,-2.0,24.0,1199,0,2015
200409,200409,2,15,7,-9.0,16.0,192,0,2015
200410,200410,2,19,4,-6.0,51.0,1124,0,2015
200411,200411,2,4,3,-5.0,7.0,325,0,2015
200412,200412,2,19,4,11.0,26.0,1008,1,2015
200413,200413,2,8,7,13.0,14.0,421,1,2015
200414,200414,2,15,7,-3.0,9.0,991,0,2015
200415,200415,2,22,7,2.0,19.0,691,0,2015
200416,200416,2,6,5,-3.0,10.0,148,0,2015
200417,200417,2,19,4,42.0,16.0,680,1,2015
200418,200418,2,6,5,0.0,30.0,448,1,2015
200419,200419,2,25,3,-8.0,17.0,264,0,2015
200420,200420,2,6,5,28.0,14.0,956,1,2015
200421,200421,2,20,5,9.0,30.0,1482,0,2015
200422,200422,2,6,5,-9.0,18.0,212,0,2015
200423,200423,2,12,4,6.0,8.0,516,0,2015
200424,200424,2,28,6,-1.0,15.0,414,0,2015
200425,200425,2,1,7,0.0,16.0,952,0,2015
200426,200426,2,8,7,-3.0,10.0,2172,0,2015
200427,200427,2,6,5,-1.0,17.0,907,0,2015
200428,200428,2,17,2,13.0,12.0,901,0,2015
200429,200429,2,7,6,-8.0,21.0,936,0,2015
200430,200430,2,18,3,-3.0,18.0,851,0,2015
200431,200431,2,3,2,23.0,11.0,356,1,2015
200432,200432,2,25,3,69.0,7.0,216,1,2015
200433,200433,2,5,4,-4.0,13.0,1005,0,2015
200434,200434,2,7,6,-2.0,17.0,762,0,2015
200435,200435,2,27,5,11.0,22.0,265,0,2015
200436,200436,2,6,5,-2.0,8.0,139,0,2015
200437,200437,2,8,7,-6.0,14.0,1721,0,2015
200438,200438,2,26,4,39.0,28.0,821,1,2015
200439,200439,2,14,6,-2.0,19.0,521,0,2015
200440,200440,2,4,3,-4.0,8.0,1099,0,2015
200441,200441,2,8,7,16.0,10.0,486,1,2015
200442,200442,2,14,6,-1.0,13.0,2504,0,2015
200443,200443,2,23,1,47.0,17.0,1826,1,2015
200444,200444,2,25,3,-8.0,14.0,421,0,2015
200445,200445,2,20,5,-9.0,23.0,373,0,2015
200446,200446,2,11,3,-4.0,7.0,277,0,2015
200447,200447,2,5,4,-2.0,21.0,1190,0,2015
200448,200448,2,24,2,38.0,12.0,67,1,2015
200449,200449,2,26,4,0.0,19.0,447,0,2015
200450,200450,2,5,4,5.0,10.0,888,0,2015
200451,200451,2,1,7,-1.0,10.0,762,0,2015
200452,200452,2,11,3,-7.0,6.0,251,0,2015
200453,200453,2,13,5,1.0,12.0,369,1,2015
200454,200454,2,24,2,187.0,8.0,296,1,2015
200455,200455,2,6,5,6.0,15.0,1089,0,2015
200456,200456,2,24,2,-8.0,19.0,2176,0,2015
200457,200457,2,6,5,-3.0,20.0,1744,0,2015
200458,200458,2,21,6,-5.0,19.0,406,0,2015
200459,200459,2,8,7,-6.0,13.0,134,0,2015
200460,200460,2,6,5,1.0,18.0,794,0,2015
200461,200461,2,3,2,-2.0,15.0,447,0,2015
200462,200462,2,24,2,-14.0,10.0,224,0,2015
200463,200463,2,13,5,-3.0,14.0,414,0,2015
200464,200464,2,26,4,17.0,11.0,444,1,2015
200465,200465,2,6,5,3.0,13.0,1400,0,2015
200466,200466,2,20,5,5.0,9.0,2295,0,2015
200467,200467,2,4,3,-6.0,16.0,390,0,2015
200468,200468,2,24,2,25.0,32.0,1089,1,2015
200469,200469,2,22,7,83.0,10.0,1195,1,2015
200470,200470,2,14,6,45.0,14.0,725,1,2015
200471,200471,2,14,6,238.0,10.0,1199,1,2015
200472,200472,2,16,1,4.0,10.0,762,0,2015
200473,200473,2,7,6,-1.0,18.0,862,0,2015
200474,200474,2,16,1,1.0,19.0,1096,0,2015
200475,200475,2,1,7,96.0,16.0,312,1,2015
200476,200476,2,27,5,37.0,14.0,1916,1,2015
200477,200477,2,25,3,-5.0,11.0,486,0,2015
200478,200478,2,28,6,11.0,90.0,420,1,2015
200479,200479,2,12,4,-2.0,11.0,145,0,2015
200480,200480,2,17,2,-4.0,16.0,590,0,2015
200481,200481,2,4,3,-6.0,9.0,689,0,2015
200482,200482,2,14,6,-20.0,9.0,680,0,2015
200483,200483,2,6,5,-6.0,21.0,2614,1,2015
200484,200484,2,4,3,-5.0,9.0,474,0,2015
200485,200485,2,26,4,-7.0,11.0,319,0,2015
200486,200486,2,17,2,0.0,19.0,646,0,2015
200487,200487,2,26,4,45.0,74.0,611,1,2015
200488,200488,2,9,1,-4.0,20.0,594,0,2015
200489,200489,2,26,4,28.0,23.0,1076,1,2015
200490,200490,2,27,5,-8.0,13.0,327,0,2015
200491,200491,2,7,6,11.0,11.0,1046,1,2015
200492,200492,2,16,1,3.0,26.0,1035,0,2015
200493,200493,2,6,5,-3.0,13.0,416,0,2015
200494,200494,2,20,5,9.0,14.0,978,0,2015
200495,200495,2,21,6,-2.0,17.0,569,0,2015
200496,200496,2,18,3,-2.0,21.0,143,0,2015
